批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
648779,"Jon Allen讲创伤与依恋创伤","		1098650340046964",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1098650340046964,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2275248644810401",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2275248644810401,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		5001514925484026",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5001514925484026,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3026402951156271",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3026402951156271,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2727977121972145",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2727977121972145,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1626746267729532",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1626746267729532,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3692373692414876",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3692373692414876,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		5933496073269582",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5933496073269582,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2846572507646311",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2846572507646311,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3457417159845767",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3457417159845767,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
