批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
618760,Janet一期会员邀请码,"		4706072323711365",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4706072323711365,已使用,u_58dca7eb25535_MQL8t0aT,证道心理何炫皓,"	2019-05-29 15:04:31",Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		2567659089044671",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2567659089044671,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		8214434150125287",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8214434150125287,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		8554144945481200",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8554144945481200,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		5150401003356235",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5150401003356235,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		7898348803726721",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7898348803726721,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		8713733877449796",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8713733877449796,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		6950448475642861",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6950448475642861,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		6854192967454411",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6854192967454411,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		3717101958387903",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3717101958387903,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		7589409084628741",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7589409084628741,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		5696606180069097",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5696606180069097,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		6771871617995411",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6771871617995411,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
618760,Janet一期会员邀请码,"		0086048949549516",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0086048949549516,未使用,,,,Janet一期会员邀请码,无,,,"	2019-05-29 13:00:00","	2019-12-31 23:00:00","	2019-05-29 13:43:17"
